"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2,J3";"RJ45_8";2;"RJ45";;;
2;"HOLE,HOLE,HOLE";"MountingHole_3.2mm_M3";3;"MountingHole_3.2mm_M3";;;
3;"R8,R6,R2,R11,R12,R5,R3,R9,R14,R15,R17,R18";"R_0805";12;"120";;;
4;"R7,R1,R10,R4,R13,R16";"R_0805";6;"330";;;
5;"C2,C1";"C_0805";2;"18pF";;;
6;"C3,C8";"C_0805";2;"0.1uF";;;
7;"C4";"C_0805";1;"0.33uF";;;
8;"C5,C6";"C_1206";2;"22uF";;;
9;"C7";"C_0805";1;"10nf";;;
10;"C9";"C_0805";1;"1uF";;;
11;"C10";"C_0805";1;"2.2uf";;;
12;"IC1";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA328PB-A";;;
13;"J1";"Keystone_1267_Connector";1;"1267";;;
14;"J4";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"AVR-ISP-6";;;
15;"J5";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"Debug";;;
16;"Q1,Q2,Q3";"SOT-23";3;"NTR4003N";;;
17;"R19,R20,R21,R25,R26";"R_0805";5;"20k";;;
18;"R22,R23,R24";"R_0805";3;"1";;;
19;"U2";"SOT-23-5";1;"AP2204K-5.0";;;
20;"U1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"ISL81487EIBZ-T";;;
21;"J6";"Molex_26_60_5020";1;"0026605020";;;
22;"R27";"R_0805_HandSoldering";1;"1k";;;
23;"Y1";"Crystal_SMD_2pin_7.0x4.1mm";1;"Crystal";;;
24;"REF***";"OSHW-Logo2_7.3x6mm_SilkScreen";1;"OSHW-Logo2_7.3x6mm_SilkScreen";;;
25;"D2,D1,D18,D17,D16,D14,D13,D12,D11,D10,D9,D8,D7,D6,D5,D3,D4,D15";"LED_RGB-PLCC6-5.5x5.3mm";18;"SLV6A-FKB";;;
