"Id","Designator","Package","Quantity","Designation","Supplier and ref",
1,"J1","RJ45_8",1,"RJ45",,,
2,"P1","USB_B",1,"USB_B",,,
3,"D2","LED_0805",1,"RX",,,
4,"D1","LED_0805",1,"TX",,,
5,"R1,R2,R4,R3","R_0805",4,"200",,,
6,"C1,C4,C5","C_0805",3,"100nF",,,
7,"C2","C_0805",1,"4.7uF",,,
8,"C3","C_0805",1,"10nF",,,
9,"D3","LED_0805",1,"D",,,
10,"D4","LED_0805",1,"S",,,
11,"R5,R6,R8","R_0805",3,"20k",,,
12,"R7","R_0805",1,"120",,,
13,"U1","SSOP-28_5.3x10.2mm_Pitch0.65mm",1,"FT232RL",,,
14,"U2","SOIC-8_3.9x4.9mm_Pitch1.27mm",1,"ISL81487E",,,
